analysis_year,analysis_era,run,scope_name,member_count,proof,all_active_members_unprescaled,ls_tolerance_fb
2022,2022,355455,Trigger_sngEl,1,inactive,True,2e-12
2022,2022,355455,Trigger_sngMu,1,inactive,True,2e-12
2022,2022,355455,Trigger_Muon,2,inactive,True,2e-12
2022,2022,355455,Trigger_EGamma,2,inactive,True,2e-12
2022,2022,355455,Trigger_Any,7,inactive,True,2e-12
2022,2022,355456,Trigger_ElMu,3,inactive,True,2e-12
2022,2022,355456,Trigger_dblEl,1,inactive,True,2e-12
2022,2022,355456,Trigger_dblMu,1,inactive,True,2e-12
2022,2022,355456,Trigger_sngEl,1,inactive,True,2e-12
2022,2022,355456,Trigger_sngMu,1,inactive,True,2e-12
2022,2022,355456,Trigger_Muon,2,inactive,True,2e-12
2022,2022,355456,Trigger_EGamma,2,inactive,True,2e-12
2022,2022,355456,Trigger_Any,7,inactive,True,2e-12
2022,2022,355558,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355558,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355559,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355679,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355680,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355680,Trigger_dblEl,1,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,355680,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355680,Trigger_sngEl,1,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,355680,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355680,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355680,Trigger_EGamma,2,validated_unprescaled_partial_ls_union,True,2e-12
2022,2022,355680,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_ElMu,3,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_dblEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_dblMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_sngEl,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_sngMu,1,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_Muon,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_EGamma,2,full_unprescaled_member_covers_run,True,2e-12
2022,2022,355768,Trigger_Any,7,full_unprescaled_member_covers_run,True,2e-12
