Before running:,voms-proxy-init --voms cms -valid 192:0

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>
Command:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
Check jobs status:,mkPostProc -o 1 -p <production> -s <step> -T <sample>

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22EE_130x_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22EE_130x_nAODv12_Full2022v12/*

,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022EE_Prompt_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022EE_Prompt_nAODv12_Full2022v12/*

Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 loose
TTZ-ZtoQQ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTZ-ZtoQQ
TTWJetsToLNu (now TTLNu),Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTLNu
TTHtoNon2B,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTHtoNon2B
TTHto2B,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTHto2B
TTG_PTG-10to100,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTG_PTG-10to100
TTG_PTG-100to200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTG_PTG-100to200
TTG_PTG-200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTG_PTG-200
TZQB-ZTo2L,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TZQB-ZTo2L
TTTT,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T TTTT
THW,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T THW
THQ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T THQ
WWTo2L2Nu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WWTo2L2Nu,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight/WWTo2L2Nu__part0/script.py
GluGluHToWWTo2L2Nu_M125,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGluHToWWTo2L2Nu_M125,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight/GluGluHToWWTo2L2Nu_M125__part0/script.py
VBFHToWWTo2L2Nu_M125,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T VBFHToWWTo2L2Nu_M125,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight/VBFHToWWTo2L2Nu_M125__part0/script.py
WZ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WZ
WZTo3LNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WZTo3LNu,python mkShapesRDF/processor/condor/Summer22EE_130x_nAODv12_Full2022v12/MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight/WZTo3LNu__part0/script.py
ZZ,Done,Mohammad,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T ZZ
WWW,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WWW
WWZ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WWZ
WZZ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WZZ
ZZZ,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T ZZZ
GluGlutoContintoWWtoENuENu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoENuENu 
GluGlutoContintoWWtoENuMuNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoENuMuNu 
GluGlutoContintoWWtoENuTauNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoENuTauNu 
GluGlutoContintoWWtoMuNuENu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoMuNuENu 
GluGlutoContintoWWtoMuNuMuNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoMuNuMuNu 
GluGlutoContintoWWtoMuNuTauNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoMuNuTauNu 
GluGlutoContintoWWtoTauNuENu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoTauNuENu 
GluGlutoContintoWWtoTauNuMuNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoTauNuMuNu 
GluGlutoContintoWWtoTauNuTauNu,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T GluGlutoContintoWWtoTauNuTauNu 
WGtoLNuG-1J,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J
WGtoLNuG-1J_PTG10to100,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J_PTG10to100
WGtoLNuG-1J_PTG100to200,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J_PTG100to200
WGtoLNuG-1J_PTG200to400,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J_PTG200to400
WGtoLNuG-1J_PTG400to600,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J_PTG400to600
WGtoLNuG-1J_PTG600,Done,Víctor,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T WGtoLNuG-1J_PTG600
DYto2Tau-2Jets_MLL-50_0J,Done,Luca,mkPostProc -o 0 -p Summer22EE_130x_nAODv12_Full2022v12 -s MCl2loose2022EEv12__MCCorr2022EEv12JetScaling__l2tight -T DYto2Tau-2Jets_MLL-50_0J
