Before running:,voms-proxy-init --voms cms -valid 192:0

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>
Command:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
Check jobs status:,mkPostProc -o 1 -p <production> -s <step>

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer24_150x_nAODv15_Full2024v15/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer24_150x_nAODv15_Full2024v15/*
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2024_ReRecoCDE_PromptFGHI_nAODv15_Full2024v15/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2024_ReRecoCDE_PromptFGHI_nAODv15_Full2024v15/*

Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 tight
Muon,Done,Nicolò,mkPostProc -o 0 -p Run2024_ReRecoCDE_PromptFGHI_nAODv15_Full2024v15_Muon -s DATAl2loose2024v15__l2loose
EGamma,Done,Nicolò,mkPostProc -o 0 -p Run2024_ReRecoCDE_PromptFGHI_nAODv15_Full2024v15_EGamma -s DATAl2loose2024v15__l2loose
MuonEG,Done,Nicolò,mkPostProc -o 0 -p Run2024_ReRecoCDE_PromptFGHI_nAODv15_Full2024v15_MuonEG -s DATAl2loose2024v15__l2loose
MC l2 tight,MC l2 tight
DYto2E-2Jets_MLL-10to50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2E-2Jets_MLL-10to50
DYto2Mu-2Jets_MLL-10to50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2Mu-2Jets_MLL-10to50
DYto2Tau-2Jets_MLL-10to50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2Tau-2Jets_MLL-10to50
DYto2E-2Jets_MLL-50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2E-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/DYto2E-2Jets_MLL-50__part0/script.py
DYto2Mu-2Jets_MLL-50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2Mu-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/DYto2Mu-2Jets_MLL-50__part0/script.py
DYto2Tau-2Jets_MLL-50,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T DYto2Tau-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/DYto2Tau-2Jets_MLL-50__part0/script.py
TTToSemiLeptonic,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTToSemiLeptonic,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/TTToSemiLeptonic__part0/script.py
TTTo4Q,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTTo4Q
TTTo2L2Nu,Running,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTTo2L2Nu,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/TTTo2L2Nu__part0/script.py
ST_t-channel_top,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_t-channel_top
ST_t-channel_antitop,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_t-channel_antitop
ST_s-channel_plus,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_s-channel_plus
ST_s-channel_minus,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_s-channel_minus
ST_tW_top ,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_tW_top 
ST_tW_antitop,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T ST_tW_antitop
TWminusto2L2Nu,Done,Sebastiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TWminusto2L2Nu,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/TWminusto2L2Nu__part0/script.py
TbarWplusto2L2Nu,Done,Sebatiano,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TbarWplusto2L2Nu,python mkShapesRDF/processor/condor/Summer24_150x_nAODv15_Full2024v15/MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight/TbarWplusto2L2Nu__part0/script.py
TTNuNu,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTNuNu
TTLL_MLL-4to50,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTLL_MLL-4to50
TTLL_MLL-50,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTLL_MLL-50
TTZ-ZtoQQ,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTZ-ZtoQQ
TTWJetsToLNu (now TTLNu),Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTLNu
TTW-WtoQQ,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTW-WtoQQ
TTHtoNon2B,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTHtoNon2B
TTHto2B,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTHto2B
TTG_PTG-10to100,,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTG_PTG-10to100
TTG_PTG-100to200,,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTG_PTG-10to100
TTG_PTG-200,,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTG_PTG-200
TZQB-ZTo2L,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TZQB-ZTo2L
TTTT,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T TTTT
THW,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T THW
THQ,Done,Víctor,mkPostProc -o 0 -p Summer24_150x_nAODv15_Full2024v15 -s MCl2loose2024v15__MCCorr2024v15__JERFrom23BPix__l2tight -T THQ
