Before running:,voms-proxy-init --voms cms -valid 192:0

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>
Command:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
Check jobs status:,mkPostProc -1

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer23BPix_130x_nAODv12_Full2023BPixv12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer23BPix_130x_nAODv12_Full2023BPixv12/*

,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2023BPix_Prompt_nAODv12_Full2023BPixv12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2023BPix_Prompt_nAODv12_Full2023BPixv12/*

Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 loose
All DATA,Done,Nicolò,mkPostProc -o 0 -p Run2023BPix_Prompt_nAODv12_Full2023BPixv12 -s DATAl2loose2023BPixv12__l2loose
MC l2 tight,MC l2 tight
DYto2L-2Jets_MLL-10to50																				,running,Mohammad,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T DYto2L-2Jets_MLL-10to50                                                                                                                                                                
DYto2L-2Jets_MLL-50,Done,Nicolò,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T DYto2L-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer23BPix_130x_nAODv12_Full2023BPixv12/MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight/DYto2L-2Jets_MLL-50__part0/script.py
TTToSemiLeptonic,Done,Víctor,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T TTToSemiLeptonic
TTTo4Q,Done,Víctor,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T TTTo4Q
TTTo2L2Nu,Done,Lorenzo,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T TTTo2L2Nu,python mkShapesRDF/processor/condor/Summer23BPix_130x_nAODv12_Full2023BPixv12/MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight/TTTo2L2Nu__part0/script.py
ST_t-channel_top,Done,Tomas,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T ST_t-channel_top
ST_t-channel_antitop,Done,Tomas,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T ST_t-channel_antitop
ST_s-channel_plus,Done,Tomas,mkPostProc -o 0 -p Summer23BPix_130x_nAODv12_Full2023BPixv12 -s MCl2loose2023BPixv12__MCCorr2023BPixv12JetScaling__l2tight -T ST_s-channel_plus
