Before running:,voms-proxy-init --voms cms -valid 192:0

To get writing permissions:,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22_130x_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Summer22_130x_nAODv12_Full2022v12/*

,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022_ReReco_nAODv12_Full2022v12/
,chmod g+w /eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/Run2022_ReReco_nAODv12_Full2022v12/*

Destination:,/eos/cms/store/group/phys_higgs/cmshww/amassiro/HWWNano/<production>/<step>

1. Dry run:,mkPostProc -o 0 -p <production> -s <step> -T <sample> -dR 1
2. Generate tthMVAFiller dictionaries:,python mkShapesRDF/processor/condor/Summer22_130x_nAODv12_Full2022v12/MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight/<sample>__part0/script.py
3. Submit:,mkPostProc -o 0 -p <production> -s <step> -T <sample>
4. Check jobs status:,mkPostProc -o 1 -p <production> -s <step>
5. Resubmit (if/when needed):,mkPostProc -o 1 -p <production> -s <step> -r 1

Sample,Status,Responsible,Command,Test one script
DATA l2 loose,DATA l2 loose
All DATA,Done,Nicolò,mkPostProc -o 0 -p Run2022_ReReco_nAODv12_Full2022v12 -s DATAl2loose2022v12__l2loose,python mkShapesRDF/processor/condor/Run2022_ReReco_nAODv12_Full2022v12/DATAl2loose2022v12__l2loose/SingleMuon_Run2022B-ReReco-v1__part0/script.py
MC l2 tight,co
DYto2L-2Jets_MLL-10to50,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T DYto2L-2Jets_MLL-10to50
DYto2L-2Jets_MLL-50,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T DYto2L-2Jets_MLL-50,python mkShapesRDF/processor/condor/Summer22_130x_nAODv12_Full2022v12/MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight/DYto2L-2Jets_MLL-50__part0/script.py
TTToSemiLeptonic,Done,Jónatan,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T TTToSemiLeptonic,python mkShapesRDF/processor/condor/Summer22_130x_nAODv12_Full2022v12/MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight/TTToSemiLeptonic__part0/script.py
TTTo4Q,Done,Jónatan,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T TTTo4Q
TTTo2L2Nu,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T TTTo2L2Nu,python mkShapesRDF/processor/condor/Summer22_130x_nAODv12_Full2022v12/MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight/TTTo2L2Nu__part0/script.py
ST_t-channel_top,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T ST_t-channel_top
ST_t-channel_antitop,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T ST_t-channel_antitop
ST_s-channel_plus,Done,Jónatan,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T ST_s-channel_plus
ST_s-channel_minus,Done,Jónatan,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T ST_s-channel_minus
ST_tW_top ,Done,Víctor,mkPostProc -o 0 -p Summer22_130x_nAODv12_Full2022v12 -s MCl2loose2022v12__MCCorr2022v12JetScaling__l2tight -T ST_tW_top 
